"No.","Time","Source","Destination","Protocol","Length","Info"
"810","14.374313","104.44.200.242","192.168.10.162","UDP","698","3480  >  35920 Len=656"
"811","14.375436","104.44.200.242","192.168.10.162","UDP","275","3480  >  35920 Len=233"
"812","14.380162","104.44.200.242","192.168.10.162","UDP","714","3480  >  35920 Len=672"
"813","14.380163","104.44.200.242","192.168.10.162","UDP","105","3480  >  35920 Len=63"
"816","14.413357","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
"817","14.413427","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"824","14.479591","104.44.200.242","192.168.10.162","UDP","148","3480  >  35920 Len=106"
"828","14.536891","104.44.200.242","192.168.10.162","UDP","95","3480  >  35920 Len=53"
"829","14.536892","104.44.200.242","192.168.10.162","UDP","103","3480  >  35920 Len=61"
"830","14.536892","104.44.200.242","192.168.10.162","UDP","95","3480  >  35920 Len=53"
"831","14.536892","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"832","14.536892","104.44.200.242","192.168.10.162","UDP","1054","3480  >  35920 Len=1012"
"833","14.536892","104.44.200.242","192.168.10.162","UDP","330","3480  >  35920 Len=288"
"834","14.536893","104.44.200.242","192.168.10.162","UDP","1070","3480  >  35920 Len=1028"
"835","14.536894","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"836","14.536894","104.44.200.242","192.168.10.162","UDP","103","3480  >  35920 Len=61"
"838","14.545990","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"840","14.559108","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
"842","14.567841","104.44.200.242","192.168.10.162","UDP","106","3480  >  35920 Len=64"
"843","14.581838","104.44.200.242","192.168.10.162","UDP","96","3480  >  35920 Len=54"
"850","14.692380","104.44.200.242","192.168.10.162","UDP","97","3480  >  35920 Len=55"
"851","14.692380","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"852","14.692381","104.44.200.242","192.168.10.162","UDP","94","3480  >  35920 Len=52"
"853","14.692381","104.44.200.242","192.168.10.162","UDP","1078","3480  >  35920 Len=1036"
"854","14.692383","104.44.200.242","192.168.10.162","UDP","524","3480  >  35920 Len=482"
"855","14.692383","104.44.200.242","192.168.10.162","UDP","1094","3480  >  35920 Len=1052"
"856","14.692383","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"857","14.692383","104.44.200.242","192.168.10.162","UDP","96","3480  >  35920 Len=54"
